Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang
8,8,3,4,2,6,3,2,1,0,2,0,2,0,5,0,4,5,1,1,1,0,0,3,4,7,0,3,0,0,2,1,17
6,14,18,5,0,21,18,0,3,1,2,4,0,105,15,1,4,11,2,1,0,1,0,2,9,4,0,7,4,0,0,3,16
24,5,30,8,2,25,0,1,11,6,5,23,3,212,19,6,9,0,1,13,0,1,1,10,12,13,5,13,2,0,1,6,19
21,27,18,17,3,33,13,1,3,5,6,51,3,297,26,0,15,18,0,4,3,1,0,7,19,7,3,16,4,0,1,5,42
10,12,35,24,7,40,10,2,11,5,6,45,0,365,31,4,14,36,2,6,1,3,5,13,29,13,4,25,9,0,1,10,24
36,11,22,21,5,56,5,2,7,15,12,40,0,2131,43,4,23,37,2,7,1,4,0,11,20,13,14,21,1,0,5,18,45
46,20,15,4,5,70,7,0,3,15,5,38,2,0,78,1,29,0,1,5,0,1,0,10,35,30,0,18,3,0,3,11,123
48,3,35,17,2,77,20,3,3,17,6,72,0,1349,56,3,30,53,5,2,0,5,2,7,28,16,8,34,4,1,1,15,132
37,25,29,19,3,82,9,17,6,17,15,74,2,903,55,1,39,78,0,7,0,4,0,24,26,23,4,35,1,0,3,13,110
60,29,36,24,11,99,13,0,10,14,21,70,1,1347,57,3,34,46,3,16,0,5,1,14,22,34,8,30,9,0,1,10,61
43,23,53,15,11,97,11,9,2,8,15,71,2,4024,74,4,34,47,6,6,1,2,2,15,24,13,19,24,7,0,3,12,62
68,21,37,20,4,93,16,8,8,9,26,73,0,2345,58,7,35,58,8,4,0,3,2,12,29,21,8,23,12,0,3,12,63
72,16,29,15,2,88,12,12,8,13,34,109,2,3156,72,1,37,85,11,7,2,3,2,14,16,16,7,28,7,0,5,5,105
50,25,23,11,5,82,11,6,19,9,35,89,4,2987,68,7,33,72,12,8,0,0,2,23,32,24,0,19,2,0,3,6,66
61,21,22,10,0,75,18,7,7,22,37,87,3,2447,50,4,32,52,5,5,0,6,1,8,40,14,15,20,10,0,4,5,59
74,23,15,9,5,64,4,10,11,15,50,63,1,2841,61,4,35,61,6,5,0,3,0,11,39,20,8,23,2,0,3,5,52
68,18,2,15,12,61,11,8,7,23,18,67,1,2147,31,2,31,37,4,6,0,2,0,11,30,9,11,20,7,0,3,0,42
46,11,40,11,4,36,12,10,7,11,12,52,3,2531,35,2,29,42,9,2,0,0,0,13,28,7,4,22,3,0,3,3,27
51,11,18,11,0,28,15,10,7,12,24,40,9,2097,41,4,24,31,2,1,0,4,0,5,22,6,0,19,4,0,4,8,17
30,5,19,6,3,18,5,18,6,21,29,32,11,1638,33,0,23,33,1,3,0,4,0,6,21,4,5,12,11,0,6,4,25
29,10,13,5,1,42,7,6,13,12,18,30,1,0,34,2,28,40,2,5,0,5,0,6,10,8,2,19,6,0,4,1,14
21,14,11,7,3,22,0,2,0,14,17,34,3,14840,22,1,27,28,1,1,0,6,0,4,12,4,0,15,7,0,4,2,14
24,6,8,2,0,20,4,5,2,18,24,15,3,6200,20,4,23,28,2,2,0,3,0,1,14,3,1,12,1,0,2,6,10
16,3,7,4,0,33,9,3,3,8,6,28,0,1843,13,3,11,13,2,0,0,3,0,2,9,8,1,7,2,0,5,6,7
12,5,7,2,0,22,2,1,0,9,20,19,1,1933,3,2,13,12,1,2,0,0,0,4,5,2,1,11,2,0,1,3,5
11,1,2,3,1,6,1,2,1,1,12,15,3,1807,2,2,9,5,0,0,0,0,0,4,4,5,1,14,1,0,4,0,4
9,6,2,2,0,6,4,0,0,5,7,11,2,1693,1,1,3,3,0,0,0,0,0,0,2,0,1,13,3,0,1,1,1
4,6,5,1,0,3,2,0,5,0,6,5,1,349,1,2,2,1,1,0,0,1,0,2,1,0,0,6,2,0,0,0,2
1,2,7,0,0,1,1,0,0,1,6,3,5,411,2,0,0,0,1,0,0,0,0,3,2,1,1,6,1,0,0,2,1
1,1,5,0,0,1,1,0,0,1,3,2,0,220,1,0,0,0,0,0,0,0,0,0,203,0,0,5,1,0,0,0,28
1,3,1,0,0,6,3,0,0,1,0,3,1,1422,2,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,2
0,0,2,0,0,3,0,0,0,2,1,1,5,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,1,0,0,3,2,0,0,0,0,0,5,203,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,0,2,1,0,0,0,0,0,5,499,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,7,401,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
0,10,0,2,0,0,0,0,0,5,0,1,1,409,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0
1,0,0,0,0,1,0,0,0,1,0,0,2,318,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,423,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,1,570,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,4,196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,7
0,4,0,0,0,0,0,0,0,0,0,0,5,115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11,1,0,0,0,0,1,0,0,134,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
0,4,0,0,17,1,0,0,0,0,0,0,2,126,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,4,0,0,1,0,0,0,0,0,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,4,0,0,0,0,0,0,0,6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,6,0,0,2,3,0,0,0,0,1,1,6,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,1,0,0,2,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12
0,5,0,0,4,4,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,10,0,0,0,1,0,0,0,0,0,0,10,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
0,4,0,0,0,3,1,1,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,1,1,3,0,1,0,0,0,0,1
0,13,0,0,0,6,0,0,0,0,0,0,19,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
0,11,0,0,1,8,0,0,0,0,1,0,27,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1
0,11,0,3,0,17,1,0,0,0,1,0,48,0,0,0,0,0,0,1,0,0,0,1,1,8,0,1,0,0,0,0,1
0,13,0,4,0,5,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,1,2,9,0,1,0,0,0,0,2
0,18,1,10,2,13,0,0,0,1,0,1,44,0,0,0,2,1,0,1,6,0,0,0,3,24,0,1,0,0,0,0,2
0,15,1,0,0,2,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0
0,21,0,5,0,13,0,0,0,0,0,0,31,1,0,0,3,0,0,0,1,0,0,1,0,10,0,2,4,0,0,0,2
0,3,0,4,0,5,0,0,0,0,0,0,25,0,0,2,2,0,1,0,5,0,0,1,1,19,0,2,0,0,0,0,1
0,5,0,6,0,15,0,0,0,0,0,1,45,0,0,12,2,0,1,1,1,0,0,3,2,18,1,0,6,0,0,2,2
0,3,0,3,0,8,0,0,0,0,0,0,42,0,0,3,1,0,0,0,2,0,0,0,1,17,0,1,4,0,0,2,4
0,4,0,6,0,11,0,0,0,0,0,0,32,0,0,2,0,0,2,4,4,0,0,0,0,17,0,0,6,0,0,0,4
0,4,1,1,2,8,0,0,0,0,0,1,51,0,0,1,3,1,1,2,0,0,0,0,0,7,1,2,5,0,0,0,3
0,0,0,2,0,9,0,0,0,2,0,0,46,0,0,2,1,0,0,2,1,0,0,0,1,6,0,0,8,0,0,0,1
0,3,0,3,0,10,0,0,0,0,0,0,57,0,0,10,1,0,0,3,3,0,0,0,1,11,0,0,0,0,0,2,2
0,0,0,2,0,7,0,0,0,2,0,0,57,1,0,4,0,0,0,1,0,0,0,2,0,7,1,2,2,0,0,0,0
0,2,0,0,0,6,0,0,0,2,4,0,47,0,1,6,1,0,0,1,0,0,0,0,1,6,0,2,0,0,0,1,1
