Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,2,0,0,0,0,2,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2,0,1,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
0,0,0,0,0,5,0,0,1,0,0,1,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,1,0,0,0,1,0,51,0,1,4,2,0,0,0,0,0,0,1,4,0,0,0,0,0,1,10
2,4,2,0,0,3,0,0,0,0,2,0,0,27,6,0,1,2,0,0,0,0,0,0,1,1,0,2,0,0,0,1,7
2,0,4,0,3,1,0,0,3,3,0,7,0,127,8,0,1,3,0,0,0,0,0,0,3,0,2,8,1,0,0,1,11
7,3,2,1,0,6,5,0,0,0,0,6,0,91,6,0,1,6,0,0,0,1,0,0,1,0,0,3,0,0,0,2,11
6,11,0,2,1,9,3,0,1,1,2,11,0,136,9,0,4,2,0,1,0,0,0,2,4,2,1,0,1,0,0,0,19
3,1,6,8,2,19,3,7,0,2,3,20,0,111,23,2,11,7,1,2,0,0,3,4,4,3,1,10,0,0,0,0,16
11,7,9,3,0,20,1,0,3,7,1,9,0,184,27,1,11,10,2,1,1,0,0,3,12,10,7,7,0,0,0,2,16
13,2,7,6,3,19,3,0,2,9,4,30,0,298,31,1,9,8,0,2,0,4,0,8,10,5,3,11,0,0,0,5,29
12,1,8,4,3,24,0,0,4,8,1,30,0,324,44,0,8,10,0,1,0,10,0,3,7,11,6,18,2,0,0,5,52
13,3,12,11,4,29,1,0,5,4,1,37,0,356,30,0,20,18,8,4,0,0,0,5,19,3,4,11,0,0,0,1,26
16,7,15,4,1,26,6,1,0,7,16,38,0,427,22,0,10,32,1,1,0,0,0,5,3,4,0,9,4,0,0,1,41
17,4,13,6,7,45,9,7,1,7,0,27,0,417,39,0,12,23,5,6,0,7,2,2,14,4,5,5,2,0,3,1,28
22,8,23,8,7,63,0,1,7,6,1,28,1,47,57,1,32,24,4,1,1,2,4,11,12,5,3,7,1,1,0,6,51
30,13,26,4,8,39,0,9,3,14,2,50,0,773,35,0,14,18,2,2,1,0,2,3,13,5,3,12,10,0,3,1,39
